이름,주소,lat,lng
카페키츠네,서울특별시 강남구 신사동 535-13,37.5195791243983,127.022784235585
그레인바운더리,서울특별시 강남구 신사동 544-6,37.5209544259653,127.023647203213
니블스,서울특별시 강남구 신사동 551-11,37.5222451901616,127.023709149597
어반81,서울특별시 강남구 삼성동 46-8 101호.,37.5126208097031,127.048579602977
빈터커피로스터스,서울특별시 강남구 신사동 524 오로라빌 1층 101호,37.5220352157719,127.021072528434
블랙루머 BLACK RUMOR,서울특별시 강남구 신사동 660-17 A동 105호,37.5279746084345,127.03720035046
페인팅룸,서울특별시 강남구 신사동 644-13 은미르빌딩 B1 페인팅룸,37.5266280945066,127.035630910854
메종 르자당,서울특별시 강남구 신사동 650-14 2층,37.5233067034434,127.036015086764
카페오터스,서울특별시 강남구 삼성동 121-20 1층 101호,37.5105152325272,127.05302611103
올디너리모먼트,서울특별시 강남구 도곡동 517-8,37.4840126999224,127.044189735164
요거티 강남본점,서울특별시 강남구 역삼동 840-7 1층,37.4914908274429,127.036438656046
Coffee Writer,서울특별시 강남구 신사동 567-17,37.5234431234222,127.026842299154
천장지구,서울특별시 강남구 논현동 93-15 2층,37.5221802557701,127.038349858257
누누커피,서울특별시 강남구 삼성동 159 오크우드호텔 코엑스 별관 지하2층,37.5125211887102,127.058819250731
르와조 역삼,서울특별시 강남구 역삼동 640-21 1층,37.5024373081965,127.035041957636
더스노우 대치본점,서울특별시 강남구 대치동 907-1 코람벤처타운 1층,37.5012331574028,127.051003464633
뇸,서울특별시 강남구 역삼동 773-10 1층,37.4966719090037,127.044766235007
바나나톡,서울특별시 강남구 신사동 640-11 아트타워 1층,37.5275820426756,127.036035582514
빠삐용빵,서울특별시 강남구 논현동 32-18 k동 1층,37.5174662269335,127.027249637955
라브리크 서울,서울특별시 강남구 역삼동 619-10 라브리크,37.5023845161503,127.027915590313
타우너스 에스프레소 바,서울특별시 강남구 역삼동 725-57 타우너스 1층,37.4984396403232,127.039855797455
에이엔아더,서울특별시 강남구 논현동 116-7 지상 1층,37.5162501481341,127.037430259635
스케줄청담,서울특별시 강남구 청담동 90-19,37.5246703923702,127.042708439503
더데이즈커피,서울특별시 강남구 도곡동 413-3,37.4848304564716,127.042964799436
달콤가든,서울특별시 강남구 논현동 78-9,37.5163960636598,127.031744865756
더포트,서울특별시 강남구 청담동 130-23 1층,37.5252354906678,127.055516852798
디어달리아 도산 플래그십 스토어,서울특별시 강남구 신사동 650-16,37.5232399136579,127.0358026065
가배도 신논현,서울특별시 강남구 역삼동 601-12,37.5040968064271,127.025851550965
구테로이테,서울특별시 강남구 논현동 112-19,37.5176548986912,127.039651433308
이웃집통통이 로데오점,서울특별시 강남구 신사동 662-9 1층,37.5273145691075,127.038773446372
더스노우 논현점,서울특별시 강남구 논현동 185-1,37.5070957478901,127.026504042938
식물학,서울특별시 강남구 신사동 516-16 1층 카페 식물학,37.5183757747048,127.021666157216
아가젤라또,서울특별시 강남구 신사동 564-3 1층,37.5216872835046,127.027087824339
아이엠씨,서울특별시 강남구 청담동 118-17 네이처 포엠 지하1층,37.5252841419317,127.047238651481
한남베르그 도산,서울특별시 강남구 신사동 647-14 1층 105호,37.5250183153928,127.036962106887
소적두 압구정점,서울특별시 강남구 신사동 660-18 원일빌딩 1층,37.5280530023573,127.03689153916
레옹앤마틸다,서울특별시 강남구 신사동 555-25 102호,37.5214665802869,127.024845553185
슈퍼막셰 커피앤델리 신사역점,서울특별시 강남구 신사동 514-18 1층 슈퍼막셰 커피앤델리 신사역점,37.517217885208,127.021225237195
BELOW SINSA,서울특별시 강남구 신사동 551-11 1층 101호,37.4806106886308,126.979098412094
머치커피,서울특별시 동작구 사당동 1026-35,37.483664549277,126.976145321365
먼셀커피 이수점,서울특별시 동작구 사당동 324-16 1층,37.5027387295531,126.940145586938
보트커피,서울특별시 동작구 상도동 184-4,37.4818196411402,126.981112052545
웨스트빙고,서울특별시 동작구 동작대로13길 6 1층,37.504570665588,126.946161423788
바이엠,서울특별시 동작구 상도동 32-6,37.478374965921,126.979335097871
자매커피,서울특별시 동작구 사당동 1040-2,37.4801205204064,126.979502736886
카페왓송,서울특별시 동작구 사당동 1028-13,37.4815609724822,126.972455652243
요거프레소 사당점,서울특별시 동작구 사당동 312-9,37.4842327282489,126.977539581835
시너리,서울특별시 동작구 사당로25가길 1,37.5031597018012,126.948613078969
우부래도,서울특별시 동작구 상도1동 666-3,37.4938607824776,126.926469159355
레스트어와일,서울특별시 동작구 신대방동 344-136,37.4852467662531,126.979253605846
카페브르브르,서울특별시 동작구 사당동 141-48,37.4788265358888,126.979244188186
위드버터,서울특별시 동작구 사당동 1033-2,37.5068243207659,126.959648213133
토크넌센스,서울특별시 동작구 흑석동 223-15,37.5042061063061,126.945936737727
헤븐리가든,서울특별시 동작구 상도동 29-2,37.4789887807719,126.978096944314
멜로우무드,서울특별시 동작구 사당동 1034-15,37.5003808791207,126.926556178658
카페알코브,서울특별시 동작구 대방동 391-357,37.4839815633354,126.979733353288
이수카페 사이,서울특별시 동작구 사당동 1006-20,37.5096317962488,126.962204212791
ARTS(아츠),서울특별시 동작구 현충로 52,37.5044788861021,126.949500320573
오티움 로스터리,서울특별시 동작구 상도1동 622 1층,37.4902160271382,126.964565615707
미지수카페,서울특별시 동작구 사당동 188-1,37.504246572881,126.923048225556
에이치플레이스,서울특별시 동작구 대방동 386-28,37.5001070575194,126.920962688216
카페익스큐즈미,서울특별시 동작구 대방동 399-7,37.5015117622392,126.95339166219
웨이사이드,서울특별시 동작구 상도1동 319-3 세웅빌딩 2층,37.4855845433487,126.972185525825
유별커피,서울특별시 동작구 사당동 262-21,37.504904272754,126.922582608766
카페플랫,서울특별시 동작구 대방동 385-22 1층 101호,37.5039799876861,126.944647723908
서브젝트 커피,서울특별시 동작구 상도동 28-26 1층 서브젝트 커피,37.4863867069835,126.979686119116
앳더스크,서울특별시 동작구 사당동 141-44 앳더스크,37.4862737122883,126.979638095418
요굿트,서울특별시 동작구 사당동 141-45,37.4978843445089,126.931458997054
카페 헷지,서울특별시 동작구 상도동 308-9 1층 카페헷지,37.5124017371338,126.928036752355
본디,서울특별시 동작구 대방동 340-3 1층 스타트업매장 4호,37.5108672899844,126.945663193775
고미제과,서울특별시 동작구 노량진동 123-37 1층 102호 고미제과,37.4902306344918,126.982216711909
파니모들,서울특별시 동작구 사당동 79-3 원옥빌딩 1층,37.4772483957316,126.979118907133
키키젤라또,서울특별시 동작구 사당동 1044-18 1층,37.4975664618527,126.923938394868
기역니은디귿제빵점,서울특별시 동작구 신대방동 360-224 ㄱㄴㄷ제빵점,37.5042264007244,126.948817277795
잔디속에있다고상상을해,서울특별시 동작구 상도1동 691 2층,37.4959368311565,126.953050335513
배추공주와페키들의감성놀이터,서울특별시 동작구 상도동 490-6,37.5116624689534,126.954040467915
히뽀1997,서울특별시 동작구 본동 126-125,37.4986150250519,126.933605521809
카페희희,서울특별시 동작구 상도동 256-1 B06호,37.4855880181934,126.972403067157
