,이름,설치지점,주소,lat,lng
19,대영부동산,도로변(횡단보도 포함),서울 강남구 신사동 638-5,37.52877979,127.0352863
20,더블유 수약국,"정류소(버스, 택시 등)",서울 강남구 신사동 639-1,37.52871686,127.0360076
21,우리은행 압구정로데오지점,도로변(횡단보도 포함),서울 강남구 신사동 638-13,37.52858501,127.0343032
22,동서상가,"정류소(버스, 택시 등)",서울 강남구 신사동 661-1,37.52792225,127.0389015
23,로데오역 6번출구,지하철역 입구,서울 강남구 신사동 664,37.52768957,127.0398542
24,CJ성형외과,도로변(횡단보도 포함),서울 강남구 청담동 78-16,37.52741375,127.0409776
25,삼아약품,"정류소(버스, 택시 등)",서울 강남구 청담동 80-18,37.5263824,127.0450951
26,버버리 코리아,도로변(횡단보도 포함),서울 강남구 청담동 98-8,37.52447929,127.0467443
27,미니스톱(청수빌딩),"정류소(버스, 택시 등)",서울 강남구 청담동 124-4,37.52479735,127.0491684
28,탐앤탐스 청담점,도로변(횡단보도 포함),서울 강남구 도산대로89길 3,37.52505686,127.0501974
29,밀레,도로변(횡단보도 포함),서울 강남구 청담동 91-2,37.52386862,127.041628
30,국민은행 학동사거리점,도로변(횡단보도 포함),서울 강남구 신사동 666-11,37.52377241,127.0389277
31,쉐이크쉑 청담점,"정류소(버스, 택시 등)",서울 강남구 신사동 652-16,37.523117,127.0375867
32,바카라(313빌딩),도로변(횡단보도 포함),서울 강남구 신사동 630-31,37.52250054,127.0355297
33,한성모터스(학빌딩),도로변(횡단보도 포함),서울 강남구 신사동 629-24,37.521751,127.0333574
34,마세라티 강남전시장,"정류소(버스, 택시 등)",서울 강남구 신사동 588-21,37.52083769,127.0305482
35,바른약국,도로변(횡단보도 포함),서울 강남구 신사동 561-31,37.5190292,127.0256273
36,KT 신사점,"정류소(버스, 택시 등)",서울 강남구 신사동 514-10,37.51761962,127.0223373
37,신사역 8번출구,지하철역 입구,서울 강남구 신사동 513-4,37.51701198,127.0208477
38,신사역 7번출구,지하철역 입구,서울 강남구 신사동 501-2,37.51677389,127.0200779
39,신사역 2번출구,지하철역 입구,서울 강남구 논현동 1,37.51586161,127.0201883
40,신사역 1번출구,지하철역 입구,서울 강남구 논현동 2-15,37.51637084,127.0212698
41,청호빌딩,"정류소(버스, 택시 등)",서울 강남구 논현동 3-2,37.51673798,127.0218798
42,애플(페이토빌딩),도로변(횡단보도 포함),서울 강남구 논현동 5-1,37.51732568,127.0234198
43,을지병원,도로변(횡단보도 포함),서울 강남구 논현동 59,37.51941073,127.0285846
44,에이스침대,도로변(횡단보도 포함),서울 강남구 논현동 61,37.52023774,127.0307976
45,아우디 도산대로전시장,도로변(횡단보도 포함),서울 강남구 논현동 91-3,37.52138754,127.0349225
46,신한은행 도산대로지점,"정류소(버스, 택시 등)",서울 강남구 논현동 92,37.52201619,127.0363492
47,삼성,도로변(횡단보도 포함),서울 강남구 논현동 94-2,37.52270158,127.0388747
48,포르쉐스튜디오,도로변(횡단보도 포함),서울 강남구 청담동 3,37.52301767,127.0419961
49,SSG푸드마켓 청담점,"정류소(버스, 택시 등)",서울 강남구 청담동 4-1,37.52339387,127.0436576
50,보테가라운지,도로변(횡단보도 포함),서울 강남구 청담동 48,37.52394718,127.0478157
51,청담빌딩,도로변(횡단보도 포함),서울 강남구 청담동 52,37.52418045,127.0510511
52,스타벅스 청담점,"정류소(버스, 택시 등)",서울 강남구 청담동 52-1,37.5243533,127.0515878
53,프리마호텔,도로변(횡단보도 포함),서울 강남구 청담동 52-3,37.52428236,127.0522606
54,세븐일레븐 청담루나점,"정류소(버스, 택시 등)",서울 강남구 청담동 72-3,37.52008137,127.0559516
55,진흥아파트 5동 앞,지하철역 입구,서울 강남구 청담동 73,37.51991782,127.0538684
56,청담역 11번출구,지하철역 입구,서울 강남구 청담동 75-1,37.5195064,127.0516805
57,청담역 10번출구,지하철역 입구,서울 강남구 청담동 75-1,37.5195064,127.0516805
58,강남세무서,"정류소(버스, 택시 등)",서울 강남구 청담동 45,37.51872833,127.0470845
59,삼성아파트 101동 앞,"정류소(버스, 택시 등)",서울 강남구 청담동 42,37.51791619,127.0427539
60,강남구청역 4번출구,지하철역 입구,서울 강남구 청담동 41-2,37.51757038,127.0414878
61,강남구청역 3번출구,지하철역 입구,서울 강남구 논현동 119,37.51744914,127.0406344
62,T-WORLD(HOSIG 타워),"정류소(버스, 택시 등)",서울 강남구 논현동 118-16,37.51706105,127.0399245
63,바나프레소 세관사거리점,도로변(횡단보도 포함),서울 강남구 논현동 115-13,37.51581026,127.0357432
64,서울제이에스병원,"정류소(버스, 택시 등)",서울특별시 강남구 논현동 90-7,37.51552685,127.0346713
65,논현2동 파출소,도로변(횡단보도 포함),서울 강남구 논현동 89-13,37.51520778,127.0338471
66,학동역9번 출구,지하철역 입구,서울 강남구 논현동 88-9,37.51470354,127.0320414
67,학동역6번 출구,지하철역 입구,서울 강남구 논현동 58-9,37.51409481,127.0300173
68,삼익뮤직프라자,"정류소(버스, 택시 등)",서울 강남구 논현동 58-3,37.51413115,127.0291813
69,나뚜찌,도로변(횡단보도 포함),서울 강남구 논현동 56-22,37.51296092,127.0265515
70,포레힐호텔,"정류소(버스, 택시 등)",서울 강남구 논현동 54-4,37.51210108,127.0236316
71,논현역8번 출구,지하철역 입구,서울 서초구 잠원동 37-7,37.51158366,127.0205951
72,영동가구(학동로106),"정류소(버스, 택시 등)",서울 강남구 논현동 121,37.51113838,127.0225959
73,학동역5번 출구,지하철역 입구,서울 강남구 논현동 129-1,37.51365617,127.0304904
74,학동역2번 출구,지하철역 입구,서울 강남구 논현동 208,37.51396332,127.0318507
75,학동역1번 출구,지하철역 입구,서울 강남구 논현동 208-7,37.51434684,127.0329923
76,쌍용자동차 강남논현전시장,도로변(횡단보도 포함),서울 강남구 논현동 238,37.51516262,127.0357469
77,카페마스터,"정류소(버스, 택시 등)",서울 강남구 논현동 238-10,37.51544406,127.0364371
78,정관장 강남구청역점,"정류소(버스, 택시 등)",서울 강남구 논현동 241-1,37.51655254,127.0401392
79,허브프라자,도로변(횡단보도 포함),서울 강남구 논현동 241-3,37.51668735,127.0405907
80,서광아파트 101동앞,"정류소(버스, 택시 등)",서울 강남구 삼성동 2,37.51702987,127.0427451
81,삼성월드 아파트 앞,도로변(횡단보도 포함),서울 강남구 삼성동 3-1,37.51743348,127.044098
82,한솔아파트 101동 앞,도로변(횡단보도 포함),서울 강남구 삼성동 4-1,37.51768191,127.0454537
83,강남구청,도로변(횡단보도 포함),서울 강남구 삼성동 16-1,37.51756894,127.0474867
84,강남구청,"정류소(버스, 택시 등)",서울 강남구 삼성동 16-1,37.51756894,127.0474867
85,상아아파트1동(학동로446),도로변(횡단보도 포함),서울 강남구 삼성동 189,37.5177086,127.0498648
86,청담역4번 출구,지하철역 입구,서울 강남구 삼성동 53-2,37.51871387,127.0521206
87,청담불한증막,"정류소(버스, 택시 등)",서울 강남구 청담동 44-12,37.51835197,127.0459642
88,삼성라테라스아파트,도로변(횡단보도 포함),서울특별시 강남구 봉은사로 645,37.51554948,127.0657975
89,삼성라테라스아파트,도로변(횡단보도 포함),서울특별시 강남구 봉은사로 645,37.51554948,127.0657975
90,미켈란107,도로변(횡단보도 포함),서울 강남구 삼성동 107,37.51488588,127.0604124
91,봉은사역 1번출구,도로변(횡단보도 포함),서울 강남구 삼성동 77-20,37.51434204,127.059151
92,GS25 봉은사점,"정류소(버스, 택시 등)",서울 강남구 삼성동 77-23,37.51426165,127.0586577
93,봉은사,도로변(횡단보도 포함),서울특별시 강남구 봉은사로 531,37.5158257,127.0577345
94,더라빌입구,도로변(횡단보도 포함),서울 강남구 삼성동 73-1,37.5140631,127.0563664
95,더라빌입구,도로변(횡단보도 포함),서울 강남구 삼성동 73-1,37.5140631,127.0563664
96,국민은행 삼성중앙역지점,도로변(횡단보도 포함),서울 강남구 삼성동 51-2,37.51315812,127.0526854
97,롯데슈퍼 봉은사로점,"정류소(버스, 택시 등)",서울 강남구 봉은사로 471,37.51272627,127.0512395
98,한국통신사업자,"정류소(버스, 택시 등)",서울 강남구 삼성동 44-9,37.51161279,127.0474155
99,삼성2동주민센터,"정류소(버스, 택시 등)",서울 강남구 삼성동 38-34,37.5112125,127.0459841
100,삼성2동주민센터,"정류소(버스, 택시 등)",서울 강남구 삼성동 38-34,37.5112125,127.0459841
101,쿨마트 논현점(아크로힐스 논현아파트 104동 앞),"정류소(버스, 택시 등)",서울 강남구 논현동 277-27,37.50952137,127.0401403
102,아크로힐스 103동 앞,도로변(횡단보도 포함),서울 강남구 논현동 276-1,37.5095251,127.0389548
103,타이어T-스테이션 강남논현점,"정류소(버스, 택시 등)",서울 강남구 봉은사로 229,37.50868774,127.0371736
104,올리브영 언주역점,"정류소(버스, 택시 등)",서울 강남구 논현동 235-9,37.50793282,127.0349987
105,거평타운,도로변(횡단보도 포함),서울 강남구 논현동 203-1,37.50588971,127.0282229
106,거평타운,도로변(횡단보도 포함),서울 강남구 논현동 203-1,37.50588971,127.0282229
107,신논현역(봉은사로 110),"정류소(버스, 택시 등)",서울 강남구 역삼동 601-1,37.50464598,127.0258131
108,삼정호텔(차병원 건강검진센터),"정류소(버스, 택시 등)",서울 강남구 역삼동 604-7,37.5061226,127.0311803
109,여송빌딩,도로변(횡단보도 포함),서울 강남구 역삼동 650,37.50712213,127.0342633
110,송산빌딩,"정류소(버스, 택시 등)",서울 강남구 역삼동 651,37.5073663,127.0351984
111,송산빌딩,"정류소(버스, 택시 등)",서울 강남구 역삼동 651,37.5073663,127.0351984
112,송산빌딩,"정류소(버스, 택시 등)",서울 강남구 역삼동 651,37.5073663,127.0351984
113,우리은행 역삼동지점,도로변(횡단보도 포함),서울특별시 강남구 역삼동 726,37.49907048,127.0383672
114,NK타워,"정류소(버스, 택시 등)",서울 강남구 역삼동 681-16,37.50910673,127.0406518
115,창일빌딩,"정류소(버스, 택시 등)",서울 강남구 역삼동 682-7,37.50970835,127.0429137
116,라마다호텔,도로변(횡단보도 포함),서울 강남구 봉은사로 410,37.51034745,127.045279
117,구다모,"정류소(버스, 택시 등)",서울 강남구 삼성동 113-2,37.5106567,127.046361
118,우리은행 삼성중앙역지점,"정류소(버스, 택시 등)",서울 강남구 삼성동 117-1,37.51247662,127.0524432
119,광동한방병원,"정류소(버스, 택시 등)",서울 강남구 삼성동 161,37.51426023,127.0621313
120,신의주찹쌀순대,"정류소(버스, 택시 등)",서울 강남구 봉은사로 636,37.51480565,127.0649071
121,삼성빌딩,"정류소(버스, 택시 등)",서울 강남구 삼성동 170-8,37.51000177,127.0657189
122,삼성역8번 출구,지하철역 입구,서울 강남구 테헤란로 607,37.50951094,127.0640016
123,K타워(삼성동 158-23),도로변(횡단보도 포함),서울 강남구 테헤란로 513,37.50802541,127.0588878
124,국민은행 삼성동지점,도로변(횡단보도 포함),서울 강남구 삼성동 157-33,37.50739825,127.0571911
125,KB우준타워,도로변(횡단보도 포함),서울 강남구 삼성동 144-29,37.50720878,127.0560353
126,연당빌딩,"정류소(버스, 택시 등)",서울 강남구 삼성동 144-23,37.50684229,127.0551818
127,삼성생명,도로변(횡단보도 포함),서울 강남구 대치동 890,37.50476544,127.0512515
128,선릉역10번 출구,지하철역 입구,서울 강남구 삼성동 141-32,37.50529874,127.0497948
129,선릉역6번 출구,지하철역 입구,서울 강남구 역삼동 705-27,37.5047896,127.0484605
130,선릉역5번 출구,지하철역 입구,서울 강남구 역삼동 705-9,37.5046454,127.047444
131,동훈타운,도로변(횡단보도 포함),서울 강남구 역삼동 702-19,37.50396509,127.0457456
132,한국기술센터,"정류소(버스, 택시 등)",서울 강남구 역삼동 701-7,37.50329797,127.0436473
133,KEB하나은행 역삼역금융센터,"정류소(버스, 택시 등)",서울 강남구 테헤란로 207,37.50171193,127.0387144
134,역삼역8번 출구,지하철역 입구,서울 강남구 역삼동 679-5,37.50130716,127.0371725
135,역삼역5번 출구,지하철역 입구,서울 강남구 역삼동 642-19,37.5010235,127.0360825
136,역삼역4번출구,지하철역 입구,서울 강남구 테헤란로 143,37.50061921,127.0348978
137,특허청,도로변(횡단보도 포함),서울 강남구 역삼동 647-9,37.50008666,127.0329013
138,여삼빌딩,도로변(횡단보도 포함),서울 강남구 역삼동 648-23,37.49956436,127.0315093
139,단풍나무집 강남점,"정류소(버스, 택시 등)",서울특별시 강남구 역삼동 822-7,37.49897454,127.0295345
140,강남역 12번출구,지하철역 입구,서울 강남구 역삼동 822-1,37.49866394,127.0285122
141,신사역6번 출구,지하철역 입구,서울 강남구 강남대로 616,37.51685602,127.0197982
142,신사역3번 출구,지하철역 입구,서울 강남구 강남대로 606,37.51586783,127.0201564
143,동신빌딩,"정류소(버스, 택시 등)",서울 강남구 논현동 17,37.5153929,127.0201914
144,전기공사공제조합,도로변(횡단보도 포함),서울 강남구 논현동 19-7,37.51311208,127.0208579
145,강남에스엠여성의원,"정류소(버스, 택시 등)",서울특별시 강남구 논현동 164-11,37.5075076,127.0235048
146,온누리제일그랜드약국,도로변(횡단보도 포함),서울 강남구 논현동 200,37.50510727,127.0246711
147,신논현역 5번출구,지하철역 입구,서울 강남구 역삼동 808-5,37.50420283,127.0251141
148,한국자산관리공사,"정류소(버스, 택시 등)",서울 강남구 도곡동 949-3,37.48718204,127.0333566
149,ABC마트 GS강남본점,도로변(횡단보도 포함),서울 강남구 강남대로 430,37.50096626,127.0266717
150,씨티약국,"정류소(버스, 택시 등)",서울 강남구 강남대로 374,37.49628956,127.0290672
151,뉴발란스 강남 플래그십스토어,도로변(횡단보도 포함),서울 강남구 역삼동 820,37.49950783,127.0273161
152,YBM어학원 강남센터,도로변(횡단보도 포함),서울 강남구 역삼동 820-8,37.49922315,127.0275749
153,압구정역4번 출구,지하철역 입구,서울 강남구 신사동 581-6,37.52563324,127.0281632
154,브라운성형외과의원,도로변(횡단보도 포함),서울 강남구 신사동 582-10,37.52524241,127.0280597
155,국민은행 압구정종합금융센터,"정류소(버스, 택시 등)",서울 강남구 신사동 585-13,37.52280323,127.028021
156,하이마트 압구정점,도로변(횡단보도 포함),서울 강남구 신사동 563-33,37.51998657,127.0273903
157,더조은 병원,"정류소(버스, 택시 등)",서울특별시 강남구 논현동 37-21,37.51484975,127.0300652
158,학동역7번 출구,지하철역 입구,서울 강남구 논현동 58-7,37.51422846,127.0302621
159,학동역4번 출구,지하철역 입구,서울 강남구 논현동 129-1,37.51365617,127.0304904
160,LGU+ 언주역점,"정류소(버스, 택시 등)",서울 강남구 논현동 192-6,37.50790961,127.0333086
161,기업은행 언주역지점,도로변(횡단보도 포함),서울 강남구 논현동 192-19,37.5074826,127.0334246
162,안덕빌딩,"정류소(버스, 택시 등)",서울특별시 강남구 역삼동 607-11,37.50577108,127.0342371
163,배민라이더스 남부센터,도로변(횡단보도 포함),서울특별시 강남구 역삼동 607-19,37.50492113,127.034658
164,마린텍,도로변(횡단보도 포함),서울 강남구 역삼동 628-14,37.50349963,127.0352294
165,GS빌딩,"정류소(버스, 택시 등)",서울 강남구 역삼동 679,37.50209421,127.0367982
166,온누리건강약국(온누리빌딩),도로변(횡단보도 포함),서울특별시 강남구 역삼동 667-16,37.50365971,127.0359027
167,문화빌딩,"정류소(버스, 택시 등)",서울 강남구 역삼동 659-5,37.50539988,127.0351395
168,언주역 3번출구,지하철역 입구,서울 강남구 논현동 234-20,37.50788201,127.0340445
169,이자카야찬,도로변(횡단보도 포함),서울 강남구 논현동 221-14,37.51020236,127.0328303
170,스타벅스 논현힐탑점,"정류소(버스, 택시 등)",서울 강남구 논현동 216-5,37.51157728,127.0321972
171,학동역3번 출구,지하철역 입구,서울 강남구 학동로 204,37.51378159,127.0311955
