name,address,lat,lng,category,,
청담역(7),서울특별시 강남구 학동로 지하508 (공중화장실),37.517189 ,127.041301 ,1,,
강남구청역(7),서울특별시 강남구 학동로 지하346 (공중화장실),37.514206 ,127.031464 ,1,,
학동역(7),서울특별시 강남구 학동로 지하180 (공중화장실),37.506053 ,127.023987 ,1,,
논현역(7),서울특별시 강남구 강남대로 492-2 (공중화장실),37.498165 ,127.028308 ,1,,
논현역(7),서울특별시 강남구 강남대로 492-2 (공중화장실),37.497781 ,127.082476 ,1,,
강남역 지하상가1,서울특별시 강남대로 지하396 (공중화장실),37.509442 ,127.041950 ,1,,
강남역 지하상가2,서울특별시 강남대로 지하396 (공중화장실),37.485411 ,127.054705 ,1,,
마루공원 원형 화장실,서울특별시 강남구 개포로625 (공중화장실),37.485411 ,127.054705 ,1,,
마루공원 야외 화장실,서울특별시 강남구 개포로625 (공중화장실),37.484631 ,127.056092 ,1,,
에코파크 관리동 화장실,서울특별시 강남구 개포로625 (공중화장실),37.483280 ,127.054393 ,1,,
에코파크 야외 화장실,서울특별시 강남구 개포로625 (공중화장실),37.489141 ,127.070872 ,1,,
강남구비즈니스센터,서울특별시 봉은사로 320 (공중화장실),37.488688 ,127.066845 ,1,,
경남1차상가,서울특별시 언주로 110 (개방화장실),37.488755 ,127.067333 ,1,,
경남2차상가,서울특별시 언주로110 (개방화장실),37.488906 ,127.066625 ,1,,
개포우성3차(아) 상가,서울특별시 개포로 307 (개방화장실),37.488558 ,127.067444 ,1,,
현대1차아파트 상가,서울특별시 개포로303 (개방화장실),37.488747 ,127.068116 ,1,,
개포7단지상가,서울특별시 개포로 516 (개방화장실),37.489142 ,127.067521 ,1,,
개포빌딩,서울특별시 삼성로 38 (개방화장실),37.483586 ,127.051956 ,1,,
삼성빌딩,서울특별시 개포로 82길 7 (개방화장실),37.476792 ,127.055926 ,1,,
청송빌딩,서울특별시 삼성로 40 (개방화장실),37.472370 ,127.051706 ,1,,
삼우빌딩(개포5단지),서울특별시 개포로82길 11 (개방화장실),37.475322 ,127.050395 ,1,,
장우빌딩,서울특별시 개포로82길 13-11 (개방화장실),37.476213 ,127.049572 ,1,,
청우빌딩,서울특별시 개포로 506 (개방화장실),37.478738 ,127.048138 ,1,,
우성빌딩,서울특별시 언주로 107 (개방화장실),37.479195 ,127.049668 ,1,,
개포우성6차(아) 상가,서울특별시 언주로 3 (개방화장실),37.479212 ,127.049845 ,1,,
개포주유소,서울특별시 양재대로 339 (개방화장실),37.479537 ,127.050141 ,1,,
전남친환경유통센터빌딩,서울특별시 논현로10길 29 (개방화장실),37.477186 ,127.048051 ,1,,
연우빌딩,서울특별시 개포로22길46 (개방화장실),37.478531 ,127.049119 ,1,,
희영빌딩,서울특별시 개포로 232 (개방화장실),37.478460 ,127.049747 ,1,,
신영빌딩,서울특별시 개포로 249 (개방화장실),37.477733 ,127.048089 ,1,,
남강빌딩,서울특별시 개포로 251 (개방화장실),37.478219 ,127.047574 ,1,,
강남동산교회,서울특별시 개포로 257 (개방화장실),37.478578 ,127.055484 ,1,,
대가,서울특별시 개포로 20길 26 (개방화장실),37.518533 ,127.028244 ,1,,
밀란,서울특별시 개포로 28길 4 (개방화장실),37.513103 ,127.020859 ,1,,
리엔,서울특별시 개포로 28길 9 (개방화장실),37.515026 ,127.023031 ,1,,
영동올뱅이집,서울특별시 개포로 22길 16 (개방화장실),37.514476 ,127.029238 ,1,,
SP타이어,서울특별시 개포로 22길 8 (개방화장실),37.511432 ,127.023358 ,1,,
개포자이르네이마트,서울특별시 언주로7길6 (개방화장실),37.510515 ,127.023536 ,1,,
SK주유소,서울특별시 논현로 747 (개방화장실),37.510682 ,127.024602 ,1,,
전기공사공제조합,서울특별시 강남대로 574 (개방화장실),37.512207 ,127.028563 ,1,,
논현아파트 상가,서울특별시 강남대로146길 28 (개방화장실),37.513568 ,127.030541 ,1,,
늘사랑교회,서울특별시 강남대로146길 28 (개방화장실),37.510061 ,127.022960 ,1,,
서린빌딩,서울특별시 논현로131길12 (개방화장실),37.520307 ,127.033979 ,1,,
114빌딩(베스트프랜드㈜),서울특별시 학동로 114 (개방화장실),37.519298 ,127.034451 ,1,,
동화히스토리,서울특별시 학동로4길 15 (개방화장실),37.516792 ,127.034928 ,1,,
논현1호 주차장,서울특별시 학동로6길 19 (개방화장실),37.519382 ,127.035198 ,1,,
논현2호 주차장,서울특별시 학동로20길 13 (개방화장실),37.513220 ,127.031501 ,1,,
진우빌딩,서울특별시 논현로 667 (개방화장실),37.512791 ,127.035028 ,1,,
세일빌딩,서울특별시 학동로2길 19 (개방화장실),37.510735 ,127.032735 ,1,,
나누리병원,서울특별시 언주로 731 (개방화장실),37.509943 ,127.036678 ,1,,
보전빌딩,서울특별시 언주로 725 (개방화장실),37.508863 ,127.037781 ,1,,
송암빌딩,서울특별시 언주로 709 (개방화장실),37.516756 ,127.040841 ,1,,
두산빌딩,서울특별시 언주로 726 (개방화장실),37.516953 ,127.037173 ,1,,
헤리츠타워(컨벤션헤리츠),서울특별시 논현로 662 (개방화장실),37.490706 ,127.056143 ,1,,
마샬빌딩(강남지인병원),서울특별시 언주로631 (개방화장실),37.493155 ,127.063000 ,1,,
SK힐탑 주유소,서울특별시 논현로 640 (개방화장실),37.493349 ,127.061917 ,1,,
팍스타워,서울특별시 언주로 609 (개방화장실),37.493646 ,127.062321 ,1,,
파크랜드빌딩,서울특별시 언주로 601 (개방화장실),37.493881 ,127.062952 ,1,,
SK 허브블루,서울특별시 학동로 342 (개방화장실),37.496294 ,127.060603 ,1,,
G빌딩(펀비어킹),서울특별시 언주로 134길 19 (개방화장실),37.493676 ,127.060358 ,1,,
