화장실명,주소-좌표,lat,lng,주소,구분
그랑프리엔,서울특별시 남부순환로2921,37.4934943562011,127.059772967826,서울특별시 남부순환로 2912,개방화장실
선경상가,서울특별시 남부순환로 2917,37.4931666957307,127.059164905458,서울특별시 삼성로 151,개방화장실
윈플러스상가,서울특별시 남부순환로 2915,37.4929375328456,127.058877843379,서울특별시 남부순환로 2936,개방화장실
대치풍림빌딩,서울특별시 남부순환로 2913,37.492752188617,127.058529415562,서울특별시 남부순환로 2942,개방화장실
대치퍼스트빌딩,서울특별시 남부순환로 397길 57,37.4930515273501,127.058298289251,서울특별시 삼성로155,개방화장실
카이로스빌딩,서울특별시 남부순환로391길 25,37.4935290951987,127.05655994469,서울특별시 삼성로51길11,개방화장실
대치클래시아,서울특별시 남부순환로 2909,37.4921823099018,127.057410744328,서울특별시 남부순환로 2927,개방화장실
남서울종합시장,서울특별시 남부순환로 2911,37.4924293701626,127.05795597031,서울특별시 남부순환로2921,개방화장실
청실종합상가,서울특별시 도곡로78길 22,37.4966357303128,127.0588476129,서울특별시 남부순환로 2917,개방화장실
우일상가,서울특별시 도곡로 452,37.4981119857603,127.060008815305,서울특별시 남부순환로 2915,개방화장실
동하빌딩,서울특별시 도곡로 408,37.4966225187716,127.055233195315,서울특별시 남부순환로 2913,개방화장실
㈜동하개발 메디컬센터,서울특별시 영동대로 210,37.4988556676427,127.071367051995,서울특별시 남부순환로 397길 57,개방화장실
성은교회,서울특별시 언주로 408,37.4994515501667,127.044669620197,서울특별시 남부순환로391길 25,개방화장실
여천빌딩,서울특별시 언주로 423,37.5008017584379,127.043077427217,서울특별시 남부순환로 2909,개방화장실
청우빌딩,서울특별시 언주로85길 13,37.5005673881078,127.042381786191,서울특별시 남부순환로 2911,개방화장실
대치삼성(아) 상가,서울특별시 역삼로 245,37.4979195675135,127.042973993719,서울특별시 도곡로78길 22,개방화장실
강남메이저의원(구 미즈메디병원),서울특별시 역삼로 310,37.4992355425931,127.048420861876,서울특별시 도곡로 452,개방화장실
D'mark빌딩,서울특별시 언주로314,37.4958917878081,127.046476269108,서울특별시 도곡로 408,개방화장실
쌍용(아)종합 상가,서울특별시 논현로 340,37.4957744487635,127.039630476234,서울특별시 영동대로 210,개방화장실
역삼자이상가,서울특별시 언주로 307,37.4948857027485,127.045837976814,서울특별시 언주로 408,개방화장실
개나리 주유소,서울특별시 도곡로 249,37.4941658353154,127.045509037091,서울특별시 언주로 423,개방화장실
경남상가,서울특별시 도곡로221,37.4933849559237,127.043042522545,서울특별시 언주로85길 13,개방화장실
대건빌딩 하나이비인후과,서울특별시 광평로 185,37.4848291050641,127.093396177577,서울특별시 역삼로 245,개방화장실
한솔필리아,서울특별시 광평로31길 40,37.4856672284506,127.089904325026,서울특별시 역삼로 310,개방화장실
강남프라자,서울특별시 광평로19길 10,37.485485349127,127.086601738647,서울특별시 언주로314,개방화장실
정도빌딩,서울특별시 광평로31길 27,37.484837855733,127.089778957788,서울특별시 논현로 340,개방화장실
매봉주유소,서울특별시 일원로14길 25,37.484761123247,127.080874756987,서울특별시 언주로 307,개방화장실
명품주유소,서울특별시 광평로19길 15,37.485530536641,127.084797907539,서울특별시 도곡로 249,개방화장실
윤화돈까스,서울특별시 일원로 120,37.4852019134102,127.082672775781,서울특별시 도곡로221,개방화장실
태화기독교사회복지관,서울특별시 광평로10길 6,37.4826291743574,127.076520309277,서울특별시 광평로 185,개방화장실
서울충신교회,서울특별시 개포로 140길 6,37.4952067039544,127.085824891726,서울특별시 광평로31길 40,개방화장실
까치마을 상가,서울특별시 개포로 109길 9,37.495752092135,127.075096183121,서울특별시 광평로19길 10,개방화장실
수서삼성(아) 상가,서울특별시 개포동 12,37.4941848052621,127.075215384158,서울특별시 광평로31길 27,개방화장실
푸른마을 상가,서울특별시 개포로 623,37.494341198165,127.079647753194,서울특별시 일원로14길 25,개방화장실
목련타운(아) 상가,서울특별시 개포로109길 34,37.4942045850869,127.077648338611,서울특별시 광평로19길 15,개방화장실
샘터상가,서울특별시 남부순환로 3170,37.4984484660486,127.077571649146,서울특별시 일원로 120,개방화장실
한솔(아) 상가,서울특별시 남부순환로 3154,37.4976977542653,127.075475047487,서울특별시 광평로10길 6,개방화장실
유성빌딩(대청카센터),서울특별시 학동로 401,37.5176412282367,127.041673152472,서울특별시 개포로 140길 6,개방화장실
석탑플라자,서울특별시 학동로 519,37.520187742777,127.055455647687,서울특별시 개포로 109길 9,개방화장실
대치2단지상가,서울특별시 도산대로 529,37.5250900837015,127.051300031672,서울특별시 개포동 12,개방화장실
대청타워,서울특별시 영동대로138길 9,37.5229050350666,127.056494441884,서울특별시 개포로 623,개방화장실
대청프라자,서울특별시 영동대로 702,37.520479644194,127.05757608142,서울특별시 개포로109길 34,개방화장실
학여울주유소,서울특별시 학동로101길 26,37.5224447996482,127.057620352182,서울특별시 남부순환로 3170,개방화장실
남서울가스,서울특별시 강남구 세곡동214,37.4699921616519,127.109482465509,서울특별시 남부순환로 3154,개방화장실
금하빌딩,서울특별시 강남구 개포동 1248,37.4789240646689,127.046783337999,서울특별시 학동로 401,개방화장실
에이치케이웨딩홀,서울특별시 강남구 세곡동603,37.4665736362859,127.095568119182,서울특별시 학동로 519,개방화장실
원앙빌딩(한국마사회강남지점),서울특별시 강남구 세곡동 산50-15,37.4692088760966,127.093130984698,서울특별시 도산대로 529,개방화장실
신한양상가,서울특별시 강남구 청담동 66-3,37.5210885997016,127.053227030407,서울특별시 영동대로138길 9,개방화장실
화천회관빌딩,서울특별시 강남구 일원동 712-4,37.4920945916524,127.088196413985,서울특별시 영동대로 702,개방화장실
삼익쇼핑,서울특별시 강남구 개포동 12-7,37.4919796110497,127.073174385424,서울특별시 학동로101길 26,개방화장실
세곡해오름근린공원,서울특별시 강남구 개포동 12-3,37.4960355478012,127.075803126477,서울특별시 강남구 세곡동214,공중화장실
포이근린공원(출발마당),서울특별시 강남구 일원동 732-4,37.4807209012646,127.080757115672,서울특별시 강남구 개포동 1248,공중화장실
세천근린공원,서울특별시 강남구 수서동723-1,37.4875410229792,127.105420335791,서울특별시 강남구 세곡동603,공중화장실
세곡근린공원,서울특별시 강남구 일원동 산56,37.4801943078443,127.080821219124,서울특별시 강남구 세곡동 산50-15,공중화장실
청담근린공원,서울특별시 강남구 일원동 산52-13,37.4784608368738,127.073540734299,서울특별시 강남구 청담동 66-3,공중화장실
일원까치어린이공원,서울특별시 강남구 개포동 산53-40,37.4722343314524,127.059784069772,서울특별시 강남구 일원동 712-4,공중화장실
예지어린이공원,서울특별시 강남구 개포동 산 53-30,37.4725157530721,127.066462954381,서울특별시 강남구 개포동 12-7,공중화장실
한마음어린이공원,서울특별시 강남구 개포동 118-21,37.474817460406,127.069308128387,서울특별시 강남구 개포동 12-3,공중화장실
일원장미어린이공원,서울특별시 강남구 개포동 산 53-28,37.4732455904536,127.071224105697,서울특별시 강남구 일원동 732-4,공중화장실
수서개나리어린이공원,서울특별시 강남구 개포동 산53-42,37.4737903683231,127.070879141555,서울특별시 강남구 수서동723-1,공중화장실
자연학습장,서울특별시 강남구 개포동 192,37.4853874021721,127.075585679177,서울특별시 강남구 일원동 산56,공중화장실
유아숲체험장,서울특별시 강남구 개포동 산 53-32,37.4793221674583,127.071541800903,서울특별시 강남구 일원동 산52-13,공중화장실
개암약수터,서울특별시 강남구 일원동 441,37.4775492374443,127.075333696672,서울특별시 강남구 개포동 산53-40,공중화장실
천의약수터,서울특별시 강남구 일원동 246-13,37.4797056459029,127.079559632723,서울특별시 강남구 개포동 산 53-30,공중화장실
